date,year,month,slot,slot_label,MAX,MIN,DTR,AW,RF,EVP,DRNRF,SSH,RF_3d,RF_7d,MAX_3d_avg,MIN_3d_avg,DTR_3d_avg,RF_lag1,MAX_lag1,MIN_lag1,LABEL_lag1,MONTH_sin,MONTH_cos,DOY_sin,DOY_cos,SEASON,HA_flag,RF_nonzero,CAPE,K_INDEX,LIFTED_INDEX,TOTALS_TOTALS,PRECIP_WATER,ERA5_T2M,ERA5_D2M,ERA5_U10,ERA5_V10,ERA5_CAPE,ERA5_SP,ERA5_t_500hPa,ERA5_t_700hPa,ERA5_t_850hPa,ERA5_q_500hPa,ERA5_q_700hPa,ERA5_q_850hPa,ERA5_u_500hPa,ERA5_u_700hPa,ERA5_u_850hPa,ERA5_v_500hPa,ERA5_v_700hPa,ERA5_v_850hPa,slot_sin,slot_cos,slot_month_clim,doy_sin,doy_cos,ts_label_lag1_slot,ts_any_yesterday,ts_label,q_gradient_500_850,wind_shear_500_850,thickness_500_850,moisture_flux_850,wind_shear_700_850,thetae_850,cape_x_kindex,li_x_totals,moisture_flux_700,mid_level_drying
2015-01-02,2015,1,0,0001-0600,29.1,17.6,11.5,2.0,1.4,2.9,95.0,306.0,0.2000000000000018,5.999999999999979,29.366666666666674,20.33333333333334,9.6,0.0,29.5,20.3,0.0,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0.0,0.0,1.0,0.0,24.367461683444503,-1.137687107896852,42.83288429426915,22.73794956273433,294.66387939453125,291.1937255859375,0.7003326416015625,0.1116943359375,21.0,91468.9375,267.40576171875,281.32666015625,288.3387451171875,0.000197080662474,0.0037017955910414,0.0124006420373916,7.0626068115234375,1.141845703125,1.31561279296875,12.871505737304688,10.579071044921877,1.6063079833984375,0.0,1.0,0.0,0.0344216116227457,0.9994074007397048,0,0,0,0.0122035613749176,12.646446958886033,20.9329833984375,0.02574757450783014,8.974445495948608,319.22918907686517,0.0,48.730420255627564,0.03938901087293708,0.29851642208225765
2015-01-02,2015,1,1,0601-1200,29.1,17.6,11.5,2.0,1.4,2.9,95.0,306.0,0.2000000000000018,5.999999999999979,29.366666666666674,20.33333333333334,9.6,0.0,29.5,20.3,0.0,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0.0,0.0,1.0,0.0,24.367461683444503,-1.137687107896852,42.83288429426915,22.73794956273433,298.9361572265625,291.0609130859375,-0.01373291015625,3.1518707275390625,3.125,91676.609375,268.90203857421875,281.2743530273437,289.7413330078125,0.0003934227861464,0.0040121371857821,0.0120041519403457,5.069381713867188,0.93939208984375,-0.108123779296875,14.916244506835938,9.545211791992188,4.477340698242188,1.0,6.123233995736766e-17,0.0,0.0344216116227457,0.9994074007397048,0,0,0,0.0116107291541993,11.652350657992452,20.83929443359375,0.05376234772296533,5.1749982530401155,319.64410591897246,0.0,48.730420255627564,0.03848171386796348,0.33422909602370965
2015-01-02,2015,1,2,1201-1800,29.1,17.6,11.5,2.0,1.4,2.9,95.0,306.0,0.2000000000000018,5.999999999999979,29.366666666666674,20.33333333333334,9.6,0.0,29.5,20.3,0.0,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0.0,0.0,1.0,0.0,24.367461683444503,-1.137687107896852,42.83288429426915,22.73794956273433,300.129150390625,289.1219482421875,-0.445709228515625,2.140716552734375,0.0,91473.5,267.6268310546875,280.88629150390625,292.66796875,0.0003431367222219,0.003699725260958,0.0105048678815364,6.8977813720703125,2.328948974609375,-0.6019744873046875,13.44305419921875,6.8112640380859375,4.789276123046875,1.2246467991473532e-16,-1.0,0.0,0.0344216116227457,0.9994074007397048,0,0,0,0.010161731159314501,11.45138476088646,25.0411376953125,0.0507065729612254,3.5607228856177966,318.8359713114766,0.0,48.730420255627564,0.026632194462690176,0.35219147451337757
2015-01-02,2015,1,3,1801-2400,29.1,17.6,11.5,2.0,1.4,2.9,95.0,306.0,0.2000000000000018,5.999999999999979,29.366666666666674,20.33333333333334,9.6,0.0,29.5,20.3,0.0,0.4999999999999999,0.8660254037844387,0.0344216116227457,0.9994074007397048,0.0,0.0,1.0,0.0,24.367461683444503,-1.137687107896852,42.83288429426915,22.73794956273433,294.5530700683594,292.4881591796875,-2.0125274658203125,2.1671142578125,57.5,91793.671875,266.99029541015625,280.38641357421875,290.6473083496094,0.0002979354467242,0.0033623678609728,0.0101204998791217,7.888534545898437,2.4985809326171875,-2.4834442138671875,11.292190551757812,6.98284912109375,8.252593994140625,-1.0,-1.8369701987210294e-16,0.0,0.0344216116227457,0.9994074007397048,0,0,0,0.0098225644323975,10.808195530527172,23.657012939453125,0.08722015829056105,5.141286473523089,315.85783643495137,0.0,48.730420255627564,0.024936687573918384,0.3322333450816913
2015-01-03,2015,1,0,0001-0600,29.2,18.7,10.5,2.0,0.0,3.6,0.0,366.0,1.4,1.4,29.1,17.6,11.5,1.4,29.1,17.6,0.0,0.4999999999999999,0.8660254037844387,0.0516196672232537,0.998666816288476,0.0,0.0,0.0,1.5,19.68665927284144,0.609364005545217,39.23534167709113,20.463323497621147,293.1571044921875,291.4749755859375,-0.538299560546875,1.7459869384765625,4.0,91653.96875,266.5624389648437,283.40966796875,288.8652648925781,0.0002444207202643,0.0006473772227764,0.0111366547644138,7.649566650390625,6.151214599609375,0.9806060791015624,8.059539794921875,8.177642822265625,6.999542236328125,0.0,1.0,0.0,0.0516196672232537,0.998666816288476,0,0,0,0.0108922340441495,6.75267576043992,22.302825927734432,0.07871273809422115,5.303122991496074,316.6070712330153,29.52998890926216,23.90860496328744,0.006624516040341789,0.05813030738051873
2015-01-03,2015,1,1,0601-1200,29.2,18.7,10.5,2.0,0.0,3.6,0.0,366.0,1.4,1.4,29.1,17.6,11.5,1.4,29.1,17.6,0.0,0.4999999999999999,0.8660254037844387,0.0516196672232537,0.998666816288476,0.0,0.0,0.0,1.5,19.68665927284144,0.609364005545217,39.23534167709113,20.463323497621147,298.51031494140625,289.71246337890625,-0.234954833984375,2.4658966064453125,0.625,91833.9375,268.38189697265625,283.109130859375,289.495849609375,0.0003941191826015,0.0006879521533846,0.0112720653414726,10.42388916015625,6.105682373046875,-0.4620513916015625,8.7628173828125,8.1019287109375,3.4987335205078125,1.0,6.123233995736766e-17,0.0,0.0516196672232537,0.998666816288476,0,0,0,0.0108779461588711,12.091909717070411,21.11395263671875,0.03978037503658768,8.020257649508409,317.57496855262497,29.52998890926216,23.90860496328744,0.006979260392103182,0.06103159194986825
2015-01-03,2015,1,2,1201-1800,29.2,18.7,10.5,2.0,0.0,3.6,0.0,366.0,1.4,1.4,29.1,17.6,11.5,1.4,29.1,17.6,0.0,0.4999999999999999,0.8660254037844387,0.0516196672232537,0.998666816288476,0.0,0.0,0.0,1.5,19.68665927284144,0.609364005545217,39.23534167709113,20.463323497621147,299.8861694335937,288.78155517578125,-0.7773590087890625,1.1491851806640625,1.5,91536.203125,268.9075927734375,280.6804504394531,292.7895812988281,0.0001535277988296,0.003037414047867,0.0097267813980579,9.980056762695312,6.3722076416015625,-0.9505767822265624,6.8466796875,3.1414031982421875,2.5271453857421875,1.2246467991473532e-16,-1.0,0.0,0.0516196672232537,0.998666816288476,0,0,0,0.0095732535992283,11.753175157268512,23.881988525390625,0.026262417885162495,7.348502186029279,317.0193425304445,29.52998890926216,23.90860496328744,0.02157920635653879,0.31227325990899785
2015-01-03,2015,1,3,1801-2400,29.2,18.7,10.5,2.0,0.0,3.6,0.0,366.0,1.4,1.4,29.1,17.6,11.5,1.4,29.1,17.6,0.0,0.4999999999999999,0.8660254037844387,0.0516196672232537,0.998666816288476,0.0,0.0,0.0,1.5,19.68665927284144,0.609364005545217,39.23534167709113,20.463323497621147,293.6171875,289.6255187988281,-1.8097076416015625,1.9755096435546875,0.0,91724.625,269.0870056152344,282.80206298828125,292.1798095703125,0.0001568264560773,0.0013118153437972,0.0094240084290504,8.325546264648438,8.684707641601562,-1.4542999267578125,5.918136596679688,4.5737152099609375,0.906036376953125,-1.0,-1.8369701987210294e-16,0.0,0.0516196672232537,0.998666816288476,0,0,0,0.0092671819729731,10.989383064583125,23.092803955078125,0.016147510292236805,10.781991582882183,315.65535247972986,29.52998890926216,23.90860496328744,0.012876055172441603,0.13919928175723223
2015-01-04,2015,1,0,0001-0600,28.3,19.0,9.3,2.0,0.0,4.1,0.0,378.0,1.4,1.4,29.15,18.15,11.0,0.0,29.2,18.7,0.0,0.4999999999999999,0.8660254037844387,0.0688024268023198,0.9976303053065856,0.0,0.0,0.0,0.0,6.248606136863145,1.659359250317607,38.387096886376185,16.178300880400535,292.0943603515625,290.0291442871094,-1.75811767578125,1.0489959716796875,0.0,91631.90625,268.53594970703125,283.26470947265625,291.16900634765625,0.0001146250142483,0.0005314410664141,0.0069489330053329,4.8670806884765625,7.6055908203125,-1.42523193359375,2.1095123291015625,4.0027923583984375,3.999038696289064,0.0,1.0,0.0,0.0688024268023198,0.9976303053065856,0,0,0,0.0068343079910846,6.569894065063924,22.633056640625,0.029501143728280617,9.030823534011175,308.479047628869,0.0,63.69798431124653,0.004567529858207912,0.07647807073808013
2015-01-04,2015,1,1,0601-1200,28.3,19.0,9.3,2.0,0.0,4.1,0.0,378.0,1.4,1.4,29.15,18.15,11.0,0.0,29.2,18.7,0.0,0.4999999999999999,0.8660254037844387,0.0688024268023198,0.9976303053065856,0.0,0.0,0.0,0.0,6.248606136863145,1.659359250317607,38.387096886376185,16.178300880400535,299.7198486328125,288.4424743652344,-1.643402099609375,1.5882568359375,0.0,91834.765625,268.5284118652344,284.02508544921875,290.2608642578125,0.0001088571734726,0.0003902525641024,0.0100006982684135,0.0777130126953125,6.9441680908203125,-2.5399627685546875,-3.370941162109375,2.992416381835937,2.212799072265625,1.0,6.123233995736766e-17,0.0,0.0688024268023198,0.9976303053065856,0,0,0,0.0098918410949409,6.166877775724194,21.732452392578125,0.033688982516405355,9.516120076329997,315.1729622352051,0.0,63.69798431124653,0.0029508881579798163,0.03902252768813728
